,,,,,,,,,,,,,,,,,,
Taxa,Mobility,,,,,Functional feeding group,,,,,,Respiration,,,,Dispersal,,
,Burrowers,Sprawlers,Clingers,Skater,Swimmers,Collector-gatherers,Collector-filterers,Scrapers,Predators,Parasitic,Shredders,Plaston,Spiracle,Gills,Tegument,Low,High,
,ft1,ft2,ft3,ft4,ft5,ft6,ft7,ft8,ft9,ft10,ft11,ft12,ft13,ft14,ft15,ft16,ft17,
Acilius,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,
Aedes,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,
Aeshna,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,
Agabinae,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,
Anopheles,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,
Boyeria,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,
Brychius,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,
Ceratopogonidae,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,
Chaoboridae,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,
Chauliodes,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,
Chironomini,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,
Culex,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,
Diptera_other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dytiscidae,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,
Dytiscus,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,
Enochrus,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,
Gerris,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,
Hirudinea,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,
Hydroporinae,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,
Hydroporus,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,
Ilybius,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,
Laccophilus,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,
Lesteva,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,
Limnephilus,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,
Liodessus,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,
Neoporus,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,
Notonecta,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,
Oligochaeta,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,
Orthocladinae,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,
Peltodytes,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,0,
Ranatra,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,
Scritidae,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,
Sminthurus,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,
Tanypodinae,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,
