DATE_COL,SITE_ID,TARGET_TAXON,TOTAL,LIFE_STAGE,WEEK
5/16/2023,MSHN_2,Gerris,1,Adult,Week 1
5/16/2023,MSHN_2,Acilius,1,Adult,Week 1
5/17/2023,BDEG_3,Ilybius,1,Adult,Week 1
5/17/2023,BDEG_3,Chauliodes,1,Larvae,Week 1
5/22/2023,SPRL_3,Chauliodes,1,Larvae,Week 2
5/22/2023,SPRL_3,Chauliodes,1,Larvae,Week 2
5/17/2023,BDEG_2,Chauliodes,1,Larvae,Week 1
5/17/2023,BDEG_2,Chauliodes,1,Larvae,Week 1
5/23/2023,MSHN_2,Ranatra,1,Adult,Week 2
5/24/2023,BDEG_3,Chauliodes,1,Larvae,Week 2
5/24/2023,BDEG_3,Ilybius,1,Adult,Week 2
5/24/2023,BDEG_3,Ilybius,1,Adult,Week 2
5/23/2023,MSHN_2,Dytiscus,1,Larvae,Week 2
5/16/2023,MSHN_2,Dytiscus,1,Larvae,Week 1
5/16/2023,MSHN_1,Brychius,1,Adult,Week 1
5/22/2023,SPRL_3,Aeshna,1,Larvae,Week 2
5/16/2023,MSHN_2,Hydroporinae,1,Larvae,Week 1
5/24/2023,BDEG_3,Aedes,1,Larvae,Week 2
5/16/2023,MSHN_1,Aeshna,1,Larvae,Week 1
5/23/2023,MSHN_2,Lesteva,1,Adult,Week 2
5/23/2023,MSHN_2,Lesteva,1,Adult,Week 2
5/24/2023,BDEG_2,Aedes,1,Larvae,Week 2
5/23/2023,MSHN_1,Agabinae,1,Larvae,Week 2
5/23/2023,MSHN_1,Aedes,1,Larvae,Week 2
5/23/2023,MSHN_1,Aedes,1,Larvae,Week 2
5/24/2023,BDEG_3,Hydroporinae,1,Larvae,Week 2
5/22/2023,SPRL_3,Liodessus,1,Adult,Week 2
5/23/2023,SPRL_3,Liodessus,1,Adult,Week 2
5/22/2023,SPRL_3,Liodessus,1,Adult,Week 2
5/22/2023,SPRL_3,Liodessus,1,Adult,Week 2
5/22/2023,SPRL_3,Enochrus,1,Adult,Week 2
5/22/2023,SPRL_3,Enochrus,1,Adult,Week 2
5/22/2023,SPRL_3,Enochrus,1,Adult,Week 2
5/22/2023,SPRL_3,Enochrus,1,Adult,Week 2
5/22/2023,SPRL_3,Liodessus,1,Adult,Week 2
5/22/2023,SPRL_3,Enochrus,1,Adult,Week 2
5/22/2023,SPRL_3,Liodessus,1,Adult,Week 2
5/24/2023,BDEG_3,Sminthurus,1,Adult,Week 2
5/24/2023,BDEG_3,Sminthurus,1,Adult,Week 2
5/17/2023,BDEG_3,Sminthurus,1,Adult,Week 1
5/22/2023,SPRL_3,Liodessus,1,Adult,Week 2
5/23/2023,MSHN_1,Acilius,1,Adult,Week 2
5/22/2023,SPRL_3,Aedes,1,Larvae,Week 2
5/22/2023,SPRL_3,Aedes,1,Larvae,Week 2
5/22/2023,SPRL_3,Aedes,1,Larvae,Week 2
5/16/2023,MSHN_2,Neoporus,1,Adult,Week 1
5/16/2023,MSHN_2,Enochrus,1,Adult,Week 1
5/16/2023,MSHN_3,Limnephilus,1,Larvae,Week 1
5/16/2023,MSHN_1,Neoporus,1,Adult,Week 1
5/16/2023,MSHN_1,Hydroporus,1,Adult,Week 1
5/16/2023,MSHN_1,Chaoboridae,1,Pupa,Week 1
5/16/2023,MSHN_1,Diptera,1,Pupa,Week 1
5/16/2023,MSHN_1,Aedes,1,Larvae,Week 1
5/16/2023,MSHN_1,Aedes,1,Larvae,Week 1
5/16/2023,MSHN_1,Aedes,1,Larvae,Week 1
5/16/2023,MSHN_1,Diptera,1,Larvae,Week 1
5/16/2023,MSHN_1,Aedes,1,Larvae,Week 1
5/16/2023,MSHN_1,Aedes,1,Larvae,Week 1
5/16/2023,MSHN_1,Diptera,1,Pupa,Week 1
5/16/2023,MSHN_1,Diptera,1,Pupa,Week 1
5/16/2023,MSHN_1,Gerris,1,Larvae,Week 1
5/23/2023,MSHN_1,Neoporus,1,Adult,Week 2
5/17/2023,BDEG_2,Enochrus,1,Adult,Week 1
5/23/2023,MSHN_2,Acilius,1,Adult,Week 2
5/23/2023,MSHN_2,Neoporus,1,Adult,Week 2
5/23/2023,MSHN_2,Laccophilus,1,Adult,Week 2
5/24/2023,BDEG_3,Gerridae,1,Larvae,Week 2
5/24/2023,BDEG_3,Gerridae,1,Larvae,Week 2
5/16/2023,MSHN_1,Laccophilus,1,Adult,Week 1
5/23/2023,MSHN_2,Boyeria,1,Larvae,Week 2
5/23/2023,MSHN_2,Aeshna,1,Larvae,Week 2
5/23/2023,MSHN_1,Hirudinea,1,Adult,Week 2
5/23/2023,MSHN_1,Hirudinea,1,Adult,Week 2
5/16/2023,MSHN_1,Dytiscus,1,Larvae,Week 1
5/16/2023,MSHN_2,Aeshna,1,Larvae,Week 1
5/16/2023,MSHN_2,Aeshna,1,Larvae,Week 1
5/16/2023,MSHN_2,Enochrus,1,Adult,Week 1
5/16/2023,MSHN_2,Enochrus,1,Adult,Week 1
5/16/2023,MSHN_2,Enochrus,1,Adult,Week 1
5/23/2023,MSHN_2,Culex,1,Larvae,Week 2
5/23/2023,MSHN_2,Culex,1,Larvae,Week 2
5/23/2023,MSHN_2,Culex,1,Larvae,Week 2
5/23/2023,MSHN_2,Culex,1,Larvae,Week 2
5/16/2023,MSHN_1,Acilius,1,Adult,Week 1
5/23/2023,MSHN_2,Gerris,1,Adult,Week 2
5/23/2023,MSHN_2,Gerris,1,Adult,Week 2
5/23/2023,MSHN_2,Hydroporus,1,Larvae,Week 2
5/17/2023,BDEG_2,Sminthurus,1,Adult,Week 1
5/22/2023,SPRL_3,Sminthurus,1,Adult,Week 2
5/22/2023,SPRL_3,Sminthurus,1,Adult,Week 2
5/17/2023,BDEG_3,Aeshna,1,Larvae,Week 1
5/17/2023,BDEG_3,Aeshna,1,Larvae,Week 1
5/17/2023,BDEG_3,Aeshna,1,Larvae,Week 1
5/17/2023,BDEG_3,Aeshna,1,Larvae,Week 1
5/24/2023,BDEG_3,Aeshna,1,Larvae,Week 2
5/24/2023,BDEG_2,Aeshna,1,Larvae,Week 2
5/24/2023,BDEG_2,Aeshna,1,Larvae,Week 2
5/17/2023,BDEG_2,Aeshna,1,Larvae,Week 1
5/17/2023,BDEG_2,Aeshna,1,Larvae,Week 1
5/17/2023,BDEG_2,Aeshna,1,Larvae,Week 1
5/17/2023,BDEG_2,Aeshna,1,Larvae,Week 1
5/16/2023,MSHN_3,Aedes,1,Larvae,Week 1
5/16/2023,MSHN_3,Chaoboridae,1,Pupa,Week 1
5/16/2023,MSHN_3,Aedes,1,Larvae,Week 1
5/16/2023,MSHN_3,Aedes,1,Larvae,Week 1
5/16/2023,MSHN_3,Aedes,1,Larvae,Week 1
5/16/2023,MSHN_3,Aedes,1,Larvae,Week 1
5/16/2023,MSHN_3,Aedes,1,Larvae,Week 1
5/16/2023,MSHN_3,Aedes,1,Larvae,Week 1
5/16/2023,MSHN_3,Limnephilus,1,Larvae,Week 1
5/16/2023,MSHN_2,Limnephilus,1,Larvae,Week 1
5/16/2023,MSHN_1,Limnephilus,1,Larvae,Week 1
5/16/2023,MSHN_1,Limnephilus,1,Larvae,Week 1
5/16/2023,MSHN_2,Hydroporinae,1,Larvae,Week 1
5/16/2023,MSHN_2,Limnephiloidea,1,Pupa,Week 1
5/16/2023,MSHN_2,Limnephilus,1,Larvae,Week 1
5/16/2023,MSHN_2,Limnephilus,1,Larvae,Week 1
5/16/2023,MSHN_2,Limnephilus,1,Larvae,Week 1
5/16/2023,MSHN_2,Limnephilus,1,Larvae,Week 1
5/16/2023,MSHN_3,Limnephilus,1,Larvae,Week 1
5/16/2023,MSHN_3,Limnephilus,1,Larvae,Week 1
5/16/2023,MSHN_3,Limnephilus,1,Larvae,Week 1
5/16/2023,MSHN_3,Limnephilus,1,Larvae,Week 1
5/16/2023,MSHN_3,Limnephilus,1,Larvae,Week 1
5/16/2023,MSHN_3,Limnephilus,1,Larvae,Week 1
5/16/2023,MSHN_3,Limnephilus,1,Larvae,Week 1
5/16/2023,MSHN_3,Limnephilus,1,Larvae,Week 1
5/16/2023,MSHN_3,Limnephilus,1,Larvae,Week 1
5/16/2023,MSHN_3,Limnephilus,1,Larvae,Week 1
5/16/2023,MSHN_3,Limnephilus,1,Larvae,Week 1
5/16/2023,MSHN_3,Limnephilus,1,Larvae,Week 1
5/16/2023,MSHN_3,Limnephilus,1,Larvae,Week 1
5/16/2023,MSHN_3,Limnephilus,1,Larvae,Week 1
5/16/2023,MSHN_3,Limnephilus,1,Larvae,Week 1
5/16/2023,MSHN_3,Culex,1,Larvae,Week 1
5/16/2023,MSHN_3,Aedes,1,Larvae,Week 1
5/16/2023,MSHN_3,Aedes,1,Larvae,Week 1
5/23/2023,MSHN_2,Limnephilus,1,Larvae,Week 2
5/23/2023,MSHN_2,Limnephiloidea,1,Pupa,Week 2
5/23/2023,MSHN_3,Limnephiloidea,1,Pupa,Week 2
5/23/2023,MSHN_3,Limnephiloidea,1,Pupa,Week 2
5/23/2023,MSHN_3,Limnephiloidea,1,Pupa,Week 2
5/23/2023,MSHN_3,Limnephiloidea,1,Pupa,Week 2
5/23/2023,MSHN_3,Limnephilus,1,Larvae,Week 2
5/23/2023,MSHN_3,Limnephiloidea,1,Pupa,Week 2
5/23/2023,MSHN_3,Limnephiloidea,1,Pupa,Week 2
5/23/2023,MSHN_3,Limnephilus,1,Larvae,Week 2
5/23/2023,MSHN_3,Limnephiloidea,1,Pupa,Week 2
5/23/2023,MSHN_3,Limnephiloidea,1,Pupa,Week 2
5/24/2023,BDEG_2,Oligochaeta,1,Adult,Week 2
5/16/2023,MHSN_1,Oligochaeta,12,Adult,Week 1
5/23/2023,MSHN_1,Oligochaeta,6,Adult,Week 2
5/23/2023,MSHN_2,Oligochaeta,53,Adult,Week 2
5/16/2023,MSHN_2,Oligochaeta,48,Adult,Week 1
5/23/2023,MSHN_3,Oligochaeta,26,Adult,Week 2
5/16/2023,MSHN_3,Oligochaeta,10,Adult,Week 1
5/24/2023,BDEG_3,Scirtidae,1,Larvae,Week 2
5/24/2023,BDEG_3,Scirtidae,1,Larvae,Week 2
5/24/2023,BDEG_3,Scirtidae,1,Larvae,Week 2
5/24/2023,BDEG_3,Scirtidae,1,Larvae,Week 2
5/24/2023,BDEG_3,Scirtidae,1,Larvae,Week 2
5/24/2023,BDEG_3,Scirtidae,1,Larvae,Week 2
5/24/2023,BDEG_3,Scirtidae,1,Larvae,Week 2
5/24/2023,BDEG_3,Scirtidae,1,Larvae,Week 2
5/24/2023,BDEG_3,Scirtidae,1,Larvae,Week 2
5/24/2023,BDEG_3,Scirtidae,1,Larvae,Week 2
5/24/2023,BDEG_3,Scirtidae,1,Larvae,Week 2
5/24/2023,BDEG_3,Scirtidae,1,Larvae,Week 2
5/24/2023,BDEG_3,Scirtidae,1,Larvae,Week 2
5/24/2023,BDEG_3,Scirtidae,1,Larvae,Week 2
5/24/2023,BDEG_3,Scirtidae,1,Larvae,Week 2
5/23/2023,MSHN_1,Limnephiloidea,1,Pupa,Week 2
5/23/2023,MSHN_1,Dytiscidae,1,Larvae,Week 2
5/23/2023,MSHN_1,Culex,1,Pupa,Week 2
5/17/2023,BDEG_3,Chaoboridae,1,Pupa,Week 1
