DATE_COL,SITE_ID,UNIQUE_ID,LATITUDE,LONGITUDE,TARGET_TAXON,TOTAL,LIFE_STAGE,PHYLUM,CLASS,ORDER,FAMILY,SUBFAMILY,GENUS,FFG,HABIT,,,,,,,,,,
2023-05-16,MSHN_2,PSU_VP_001,40.93583,-78.032284,Gerris,1,Adult,Arthropoda,Insecta,Hemiptera,Gerridae,Gerrinae,Gerris,PRED,,,,,,,,,,,
2023-05-16,MSHN_2,PSU_VP_002,40.93583,-78.032284,Acilius,1,Adult,Arthropoda,Insecta,Coleoptera,Dytiscidae,Dytiscinae,Acilius,PRED,,,,,,,,,,,
2023-05-17,BDEG_3,PSU_VP_003,40.80368,-77.499264,Ilybius,1,Adult,Arthropoda,Insecta,Coleoptera,Dytiscidae,Agabinae,Ilybius,PRED,,,,,,,,,,,
2023-05-17,BDEG_3,PSU_VP_004,40.80368,-77.499264,Chauliodes,1,Larvae,Arthropoda,Insecta,Megaloptera,Corydalidae,Chauliodinae,Chauliodes,PRED,,,,,,,,,,,
2023-05-22,SPRL_3,PSU_VP_005,41.15978,-77.899456,Chauliodes,1,Larvae,Arthropoda,Insecta,Megaloptera,Corydalidae,Chauliodinae,Chauliodes,PRED,,,,,,,,,,,
2023-05-22,SPRL_3,PSU_VP_006,41.15978,-77.899456,Chauliodes,1,Larvae,Arthropoda,Insecta,Megaloptera,Corydalidae,Chauliodinae,Chauliodes,PRED,,,,,,,,,,,
2023-05-17,BDEG_2,PSU_VP_007,40.80081,-77.506195,Chauliodes,1,Larvae,Arthropoda,Insecta,Megaloptera,Corydalidae,Chauliodinae,Chauliodes,PRED,,,,,,,,,,,
2023-05-17,BDEG_2,PSU_VP_008,40.80081,-77.506195,Chauliodes,1,Larvae,Arthropoda,Insecta,Megaloptera,Corydalidae,Chauliodinae,Chauliodes,PRED,,,,,,,,,,,
2023-05-23,MSHN_2,PSU_VP_009,40.93583,-78.032284,Ranatra,1,Adult,Arthropoda,Insecta,Hemiptera,Nepidae,Ranatrinae,Ranatra,PRED,,,,,,,,,,,
2023-05-24,BDEG_3,PSU_VP_010,40.80368,-77.499264,Chauliodes,1,Larvae,Arthropoda,Insecta,Megaloptera,Corydalidae,Chauliodinae,Chauliodes,PRED,,,,,,,,,,,
2023-05-24,BDEG_3,PSU_VP_011,40.80368,-77.499264,Ilybius,1,Adult,Arthropoda,Insecta,Coleoptera,Dytiscidae,Agabinae,Ilybius,PRED,,,,,,,,,,,
2023-05-24,BDEG_3,PSU_VP_012,40.80368,-77.499264,Ilybius,1,Adult,Arthropoda,Insecta,Coleoptera,Dytiscidae,Agabinae,Ilybius,PRED,,,,,,,,,,,
2023-05-23,MSHN_2,PSU_VP_013,40.93583,-78.032284,Dytiscus,1,Larvae,Arthropoda,Insecta,Coleoptera,Dytiscidae,Dytiscinae,Dytiscus,PRED,,,,,,,,,,,
2023-05-16,MSHN_2,PSU_VP_014,40.93583,-78.032284,Dytiscus,1,Larvae,Arthropoda,Insecta,Coleoptera,Dytiscidae,Dytiscinae,Dytiscus,PRED,,,,,,,,,,,
2023-05-16,MSHN_1,PSU_VP_015,40.84595,-78.097878,Brychius,1,Adult,Arthropoda,Insecta,Coleoptera,Haliplidae,,Brychius,,,,,,,,,,,,
2023-05-22,SPRL_3,PSU_VP_016,41.15978,-77.899456,Aeshna,1,Larvae,Arthropoda,Insecta,Odonata,Aeshnidae,,Aeshna,PRED,,,,,,,,,,,
2023-05-16,MSHN_2,PSU_VP_017,40.93583,-78.032284,Hydroporinae,1,Larvae,Arthropoda,Insecta,Coleoptera,Dytiscidae,Hydroporinae,,,,,,,,,,,,,
2023-05-24,BDEG_3,PSU_VP_018,40.80368,-77.499264,Aedes,1,Larvae,Arthropoda,Insecta,Diptera,Culicidae,Culicinae,Aedes,,,,,,,,,,,,
2023-05-16,MSHN_1,PSU_VP_019,40.84595,-78.097878,Aeshna,1,Larvae,Arthropoda,Insecta,Odonata,Aeshnidae,,Aeshna,,,,,,,,,,,,
2023-05-23,MSHN_2,PSU_VP_020,40.93583,-78.032284,Lesteva,1,Adult,Arthropoda,Insecta,Coleoptera,Staphylinidae,Omaliinae,Lesteva,,,,,,,,,,,,
2023-05-23,MSHN_2,PSU_VP_021,40.93583,-78.032284,Lesteva,1,Adult,Arthropoda,Insecta,Coleoptera,Staphylinidae,Omaliinae,Lesteva,,,,,,,,,,,,
2023-05-24,BDEG_2,PSU_VP_022,40.80081,-77.506195,Aedes,1,Larvae,Arthropoda,Insecta,Diptera,Culicidae,Culicinae,Aedes,,,,,,,,,,,,
2023-05-23,MSHN_1,PSU_VP_023,40.84595,-78.097878,Agabinae,1,Larvae,Arthropoda,Insecta,Coleoptera,Dytiscidae,Agabinae,,,,,,,,,,,,,
2023-05-23,MSHN_1,PSU_VP_024,40.84595,-78.097878,Aedes,1,Larvae,Arthropoda,Insecta,Diptera,Culicidae,Culicinae,Aedes,,,,,,,,,,,,
2023-05-23,MSHN_1,PSU_VP_025,40.84595,-78.097878,Aedes,1,Larvae,Arthropoda,Insecta,Diptera,Culicidae,Culicinae,Aedes,,,,,,,,,,,,
2023-05-24,BDEG_3,PSU_VP_026,40.80368,-77.499264,Hydroporinae,1,Larvae,Arthropoda,Insecta,Coleoptera,Dytiscidae,Hydroporinae,,,,,,,,,,,,,
2023-05-22,SPRL_3,PSU_VP_027,41.15978,-77.899456,Liodessus,1,Adult,Arthropoda,Insecta,Coleoptera,Dytiscidae,Hydroporinae,Liodessus,,,,,,,,,,,,
2023-05-23,SPRL_3,PSU_VP_028,41.15978,-77.899456,Liodessus,1,Adult,Arthropoda,Insecta,Coleoptera,Dytiscidae,Hydroporinae,Liodessus,,,,,,,,,,,,
2023-05-22,SPRL_3,PSU_VP_029,41.15978,-77.899456,Liodessus,1,Adult,Arthropoda,Insecta,Coleoptera,Dytiscidae,Hydroporinae,Liodessus,,,,,,,,,,,,
2023-05-22,SPRL_3,PSU_VP_030,41.15978,-77.899456,Liodessus,1,Adult,Arthropoda,Insecta,Coleoptera,Dytiscidae,Hydroporinae,Liodessus,,,,,,,,,,,,
2023-05-22,SPRL_3,PSU_VP_031,41.15978,-77.899456,Enochrus,1,Adult,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Enochrinae,Enochrus,,,,,,,,,,,,
2023-05-22,SPRL_3,PSU_VP_032,41.15978,-77.899456,Enochrus,1,Adult,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Enochrinae,Enochrus,,,,,,,,,,,,
2023-05-22,SPRL_3,PSU_VP_033,41.15978,-77.899456,Enochrus,1,Adult,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Enochrinae,Enochrus,,,,,,,,,,,,
2023-05-22,SPRL_3,PSU_VP_034,41.15978,-77.899456,Enochrus,1,Adult,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Enochrinae,Enochrus,,,,,,,,,,,,
2023-05-22,SPRL_3,PSU_VP_035,41.15978,-77.899456,Liodessus,1,Adult,Arthropoda,Insecta,Coleoptera,Dytiscidae,Hydroporinae,Liodessus,,,,,,,,,,,,
2023-05-22,SPRL_3,PSU_VP_036,41.15978,-77.899456,Enochrus,1,Adult,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Enochrinae,Enochrus,,,,,,,,,,,,
2023-05-22,SPRL_3,PSU_VP_037,41.15978,-77.899456,Liodessus,1,Adult,Arthropoda,Insecta,Coleoptera,Dytiscidae,Hydroporinae,Liodessus,,,,,,,,,,,,
2023-05-24,BDEG_3,PSU_VP_038,40.80368,-77.499264,Sminthurus,1,Adult,Arthropoda,Entognatha,Collembola,Sminthuridae,,Sminthurus,,,,,,,,,,,,
