WEEK_COL,SITE_ID,LATITUDE,LONGITUDE,PH,CONDUCTIVITY_μS,TEMPERATURE_C,DEPTH_CM,LENGTH_M,WIDTH_M,PCT_CANOPY_COVER,TOC,TN,DOC,TDN,CHLORIDE,NITRATE,SULFATE,PHOSPHATE
WEEK_01,SPRL_1,41.103806,-77.988083,5.72,66.3,22.1,45,24.3,21.2,40.2,NA,NA,NA,NA,NA,NA,NA,NA
WEEK_01,SPRL_3,41.159775,-77.899456,4.82,41.7,18.3,20,11.56,24.1,32.14,NA,NA,NA,NA,NA,NA,NA,NA
WEEK_01,MSHN_1,40.845951,-78.097878,6.04,23.2,20.3,40,23.97,10.67,55.28,NA,NA,NA,NA,NA,NA,NA,NA
WEEK_01,MSHN_2,40.935831,-78.032284,7.17,64.2,23,35,17.8,19.05,81.28,NA,NA,NA,NA,NA,NA,NA,NA
WEEK_01,MSHN_3,40.94993,-78.002096,4.72,25.2,22.1,25,17.7,6.65,38.38,NA,NA,NA,NA,NA,NA,NA,NA
WEEK_01,BDEG_1,40.799645,-77.512437,4.53,23.4,23.1,11,7.7,5.2,76.86,NA,NA,NA,NA,NA,NA,NA,NA
WEEK_01,BDEG_2,40.800813,-77.506195,4.58,24.7,19.2,30,26.9,12.9,83.1,NA,NA,NA,NA,NA,NA,NA,NA
WEEK_01,BDEG_3,40.803684,-77.499264,4.5,26.5,18.2,21.5,21.32,10.72,65.94,NA,NA,NA,NA,NA,NA,NA,NA
WEEK_02,SPRL_1,41.103806,-77.988083,5.5,135,17.2,38,20.3,20.05,52.16,11.4,0.8316,11.62,0.5255,22.2511,0.0998,2.7143,NA
WEEK_02,SPRL_3,41.159775,-77.899456,4.67,16.2,15.2,17,21.58,20.84,44.88,10.18,0.784,10.7,0.6853,3.2437,0.1672,0.7845,0.1163
WEEK_02,MSHN_1,40.845951,-78.097878,6.49,22.2,16.1,31,21.59,11.17,52.16,2.947,0.4866,3.345,0.2805,0.9961,0.112,4.9192,0.1086
WEEK_02,MSHN_2,40.935831,-78.032284,6.13,60,14.4,31,18.36,20.88,92.2,4.751,0.5866,4.956,0.4478,1.6764,0.1226,4.2507,NA
WEEK_02,MSHN_3,40.94993,-78.002096,4.9,20.8,14.8,9,15.36,5.65,61,4.39,0.3556,4.801,0.2728,0.9834,0.1069,2.7453,0.0852
WEEK_02,BDEG_1,40.799645,-77.512437,NA,NA,NA,NA,NA,NA,87,NA,NA,NA,NA,NA,NA,NA,NA
WEEK_02,BDEG_2,40.800813,-77.506195,4.66,36.2,13,33,26.8,13.65,90.29,4.341,0.2999,4.703,0.199,1.2301,0.1172,4.0061,NA
WEEK_02,BDEG_3,40.803684,-77.499264,4.64,21.1,12.1,19,22.13,10.12,60.74,3.281,0.2075,3.568,0.2364,0.9276,0.1039,2.9647,0.0842
WEEK_03,SPRL_1,41.103806,-77.988083,7.28,272,21,10,15.02,12.66,49.565,17.44,6.82,15.8,0.4957,27.6544,0.1435,1.7612,0.1184
WEEK_03,SPRL_3,41.159775,-77.899456,4.68,44.4,15.6,10,17.05,14.92,30.32,6.865,0.2993,7.591,0.3239,0.8702,0.1246,1.2044,0.0981
WEEK_03,MSHN_1,40.845951,-78.097878,6.87,12.7,21.3,19,18.9,9.7,42.02,6.08,1.502,6.317,0.5752,1.291,0.1689,3.3101,0.0902
WEEK_03,MSHN_2,40.935831,-78.032284,7.39,37.8,17.1,26.5,15.2,13.5,74.77,8.05,0.725,9.1,0.5166,1.989,0.0973,2.3138,NA
WEEK_03,MSHN_3,40.94993,-78.002096,NA,NA,NA,NA,NA,NA,48.52,NA,NA,NA,NA,NA,NA,NA,NA
WEEK_03,BDEG_1,40.799645,-77.512437,NA,NA,NA,NA,NA,NA,87,NA,NA,NA,NA,NA,NA,NA,NA
WEEK_03,BDEG_2,40.800813,-77.506195,4.81,24.3,17.9,25.5,21.89,11.04,94.54,6.656,0.3028,7.01,0.2573,0.8938,0.1028,2.8272,NA
WEEK_03,BDEG_3,40.803684,-77.499264,4.79,56.1,15.9,7,5.76,3.39,65.68,4.368,0.9639,4.438,0.9239,1.2694,0.1184,2.9451,0.1166
WEEK_04,SPRL_1,41.103806,-77.988083,NA,NA,NA,NA,NA,NA,46.7,NA,NA,NA,NA,NA,NA,NA,NA
WEEK_04,SPRL_3,41.159775,-77.899456,NA,NA,NA,NA,NA,NA,44.1,NA,NA,NA,NA,NA,NA,NA,NA
WEEK_04,MSHN_1,40.845951,-78.097878,7.25,32.5,27,8,11.66,6.33,59.18,13.96,3.429,14.64,3.097,1.1726,0.1881,3.9479,0.1493
WEEK_04,MSHN_2,40.935831,-78.032284,7.13,79,18.6,16,6.25,7.68,81.02,8.613,3.979,10.81,1.547,5.4759,0.1145,0.879,NA
WEEK_04,MSHN_3,40.94993,-78.002096,NA,NA,NA,NA,NA,NA,57.88,NA,NA,NA,NA,NA,NA,NA,NA
WEEK_04,BDEG_1,40.799645,-77.512437,NA,NA,NA,NA,NA,NA,92.72,NA,NA,NA,NA,NA,NA,NA,NA
WEEK_04,BDEG_2,40.800813,-77.506195,5.32,202,18.6,27,17.68,11.15,96.1,13.99,1.411,13.71,1.211,1.5213,0.1109,1.5813,0.2
WEEK_04,BDEG_3,40.803684,-77.499264,NA,NA,NA,NA,NA,NA,71.14,NA,NA,NA,NA,NA,NA,NA,NA
WEEK_05,SPRL_1,41.103806,-77.988083,NA,NA,NA,NA,NA,NA,53.2,NA,NA,NA,NA,NA,NA,NA,NA
WEEK_05,SPRL_3,41.159775,-77.899456,NA,NA,NA,NA,NA,NA,43.84,NA,NA,NA,NA,NA,NA,NA,NA
WEEK_05,MSHN_1,40.845951,-78.097878,NA,NA,NA,NA,NA,NA,44.36,NA,NA,NA,NA,NA,NA,NA,NA
WEEK_05,MSHN_2,40.935831,-78.032284,NA,NA,NA,NA,NA,NA,82.84,NA,NA,NA,NA,NA,NA,NA,NA
WEEK_05,MSHN_3,40.935831,-78.032284,NA,NA,NA,NA,NA,NA,55.28,NA,NA,NA,NA,NA,NA,NA,NA
WEEK_05,BDEG_1,40.799645,-77.512437,NA,NA,NA,NA,NA,NA,88.56,NA,NA,NA,NA,NA,NA,NA,NA
WEEK_05,BDEG_2,40.800813,-77.506195,NA,NA,NA,NA,NA,NA,97.4,NA,NA,NA,NA,NA,NA,NA,NA
WEEK_05,BDEG_3,40.803684,-77.499264,NA,NA,NA,NA,NA,NA,82.32,NA,NA,NA,NA,NA,NA,NA,NA
WEEK_06,SPRL_1,41.103806,-77.988083,NA,NA,NA,NA,NA,NA,41.76,NA,NA,NA,NA,NA,NA,NA,NA
WEEK_06,SPRL_3,41.159775,-77.899456,NA,NA,NA,NA,NA,NA,37.08,NA,NA,NA,NA,NA,NA,NA,NA
WEEK_06,MSHN_1,40.845951,-78.097878,NA,NA,NA,NA,NA,NA,50.6,NA,NA,NA,NA,NA,NA,NA,NA
WEEK_06,MSHN_2,40.935831,-78.032284,NA,NA,NA,NA,NA,NA,77.9,NA,NA,NA,NA,NA,NA,NA,NA
WEEK_06,MSHN_3,40.935831,-78.032284,NA,NA,NA,NA,NA,NA,67.24,NA,NA,NA,NA,NA,NA,NA,NA
WEEK_06,BDEG_1,40.799645,-77.512437,NA,NA,NA,NA,NA,NA,94.28,NA,NA,NA,NA,NA,NA,NA,NA
WEEK_06,BDEG_2,40.800813,-77.506195,NA,NA,NA,NA,NA,NA,99.48,NA,NA,NA,NA,NA,NA,NA,NA
WEEK_06,BDEG_3,40.803684,-77.499264,NA,NA,NA,NA,NA,NA,84.92,NA,NA,NA,NA,NA,NA,NA,NA
WEEK_07,SPRL_1,41.103806,-77.988083,NA,NA,NA,NA,NA,NA,74,NA,NA,NA,NA,NA,NA,NA,NA
WEEK_07,SPRL_3,41.159775,-77.899456,NA,NA,NA,NA,NA,NA,50.34,NA,NA,NA,NA,NA,NA,NA,NA
WEEK_07,MSHN_1,40.845951,-78.097878,NA,NA,NA,NA,NA,NA,58.4,NA,NA,NA,NA,NA,NA,NA,NA
WEEK_07,MSHN_2,40.935831,-78.032284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WEEK_07,MSHN_3,40.935831,-78.032284,NA,NA,NA,NA,NA,NA,74,NA,NA,NA,NA,NA,NA,NA,NA
