SITE_ID,WET_OR_DRY,PH,CONDUCTIVITY_uS,TEMPERATURE_C,DEPTH_CM,LENGTH_M,WIDTH_M,PCT_CANOPY_COVER,TOC_mg_L,TN_mg_L,DOC_mg_L,TDN_mg_L,CHLORIDE_mg_L,NITRATE_mg_L,SULFATE_mg_L,PHOSPHATE_mg_L,FRASS_g,LEAF_LITTER_g,,,
BDEG_1,WET,4.53,23.4,23.1,11,7.7,5.2,76.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
BDEG_1,DRY,NA,NA,NA,NA,NA,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,0.18,1.25,,,
BDEG_1,DRY,NA,NA,NA,NA,NA,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,0.13,0.62,,,
BDEG_1,DRY,NA,NA,NA,NA,NA,NA,92.72,NA,NA,NA,NA,NA,NA,NA,NA,0.48,2.47,,,
BDEG_1,DRY,NA,NA,NA,NA,NA,NA,88.56,NA,NA,NA,NA,NA,NA,NA,NA,0.01,2.75,,,
BDEG_1,DRY,NA,NA,NA,NA,NA,NA,94.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
BDEG_1,DRY,NA,NA,NA,NA,NA,NA,94.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
BDEG_1,DRY,NA,NA,NA,NA,NA,NA,94.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
BDEG_1,DRY,NA,NA,NA,NA,NA,NA,86.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.27,,,
BDEG_1,DRY,NA,NA,NA,NA,NA,NA,94.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
BDEG_2,WET,4.58,24.7,19.2,30,26.9,12.9,83.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
BDEG_2,WET,4.66,36.2,13,33,26.8,13.65,90.29,4.341,0.2999,4.703,0.199,1.2301,0.1172,4.0061,NA,0.38,1.95,,,
BDEG_2,WET,4.81,24.3,17.9,25.5,21.89,11.04,94.54,6.656,0.3028,7.01,0.2573,0.8938,0.1028,2.8272,NA,0.28,1.54,,,
BDEG_2,WET,5.32,202,18.6,27,17.68,11.15,96.1,13.99,1.411,13.71,1.211,1.5213,0.1109,1.5813,0.2,0.57,3.89,,,
BDEG_2,DRY,NA,NA,NA,NA,NA,NA,97.4,NA,NA,NA,NA,NA,NA,NA,NA,0.01,3.29,,,
BDEG_2,DRY,NA,NA,NA,NA,NA,NA,99.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
BDEG_2,DRY,NA,NA,NA,NA,NA,NA,99.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
BDEG_2,WET,5.57,53.8,17.1,18,13.43,8.79,98.44,13.35,0.3877,14.76,0.3768,1.2398,0.1569,7.7165,NA,NA,NA,,,
BDEG_2,WET,5.41,140,22.1,31,17.08,10.78,98.96,12.1,0.7853,12.54,0.6937,2.5365,0.1882,5.6626,0.088,NA,NA,,,
BDEG_2,WET,5.22,27.4,20.9,17,19.16,13.08,99.22,9.998,0.4245,10.64,0.3998,0.9129,0.1162,5.5589,NA,0.23,2.78,,,
BDEG_3,WET,4.5,26.5,18.2,21.5,21.32,10.72,65.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
BDEG_3,WET,4.64,21.1,12.1,19,22.13,10.12,60.74,3.281,0.2075,3.568,0.2364,0.9276,0.1039,2.9647,0.0842,0.41,2.98,,,
BDEG_3,WET,4.79,56.1,15.9,7,5.76,3.39,65.68,4.368,0.9639,4.438,0.9239,1.2694,0.1184,2.9451,0.1166,0.24,1.89,,,
BDEG_3,DRY,NA,NA,NA,NA,NA,NA,71.14,NA,NA,NA,NA,NA,NA,NA,NA,0.67,1.97,,,
BDEG_3,DRY,NA,NA,NA,NA,NA,NA,82.32,NA,NA,NA,NA,NA,NA,NA,NA,0.02,4.17,,,
BDEG_3,DRY,NA,NA,NA,NA,NA,NA,84.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
BDEG_3,DRY,NA,NA,NA,NA,NA,NA,82.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
BDEG_3,DRY,NA,NA,NA,NA,NA,NA,79.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
BDEG_3,DRY,NA,NA,NA,NA,NA,NA,79.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.34,,,
BDEG_3,DRY,NA,NA,NA,NA,NA,NA,78.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
MSHN_1,WET,6.04,23.2,20.3,40,23.97,10.67,55.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
MSHN_1,WET,6.49,22.2,16.1,31,21.59,11.17,52.16,2.947,0.4866,3.345,0.2805,0.9961,0.112,4.9192,0.1086,0.01,0.63,,,
MSHN_1,WET,6.87,12.7,21.3,19,18.9,9.7,42.02,6.08,1.502,6.317,0.5752,1.291,0.1689,3.3101,0.0902,0.01,2.79,,,
MSHN_1,WET,7.25,32.5,27,8,11.66,6.33,59.18,13.96,3.429,14.64,3.097,1.1726,0.1881,3.9479,0.1493,0.05,3.88,,,
MSHN_1,DRY,NA,NA,NA,NA,NA,NA,44.36,NA,NA,NA,NA,NA,NA,NA,NA,0.03,2.61,,,
MSHN_1,DRY,NA,NA,NA,NA,NA,NA,50.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
MSHN_1,DRY,NA,NA,NA,NA,NA,NA,58.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
MSHN_1,WET,7.15,20.9,19.3,12.5,15.16,8.08,44.36,9.502,2.077,10.6,1.373,1.2226,0.1988,1.935,NA,NA,NA,,,
MSHN_1,WET,6.12,19.6,22.8,8,15.62,8.16,62.04,9.128,9.128,9.461,0.8065,0.0573,0.2087,1.0042,NA,NA,NA,,,
MSHN_1,WET,6.89,NA,NA,NA,NA,NA,82.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
MSHN_2,WET,7.17,64.2,23,35,17.8,19.05,81.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
MSHN_2,WET,6.13,60,14.4,31,18.36,20.88,92.2,4.751,0.5866,4.956,0.4478,1.6764,0.1226,4.2507,NA,0.06,1.94,,,
MSHN_2,WET,7.39,37.8,17.1,26.5,15.2,13.5,74.77,8.05,0.725,9.1,0.5166,1.989,0.0973,2.3138,NA,0.08,3.09,,,
MSHN_2,WET,7.13,79,18.6,16,6.25,7.68,81.02,8.613,3.979,10.81,1.547,5.4759,0.1145,0.879,NA,0.25,6.67,,,
MSHN_2,DRY,NA,NA,NA,NA,NA,NA,82.84,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.72,,,
MSHN_2,DRY,NA,NA,NA,NA,NA,NA,77.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
MSHN_2,DRY,NA,NA,NA,NA,NA,NA,80.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
MSHN_2,DRY,NA,NA,NA,NA,NA,NA,82.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
MSHN_2,WET,6.8,160,20.6,25,18.87,19.75,88.04,6.341,6.341,7.489,0.4597,2.093,0.1711,49.0435,NA,NA,NA,,,
MSHN_2,WET,7.07,132.3,18.5,19,16.9,13.7,90.9,8.559,8.559,6.517,0.6355,1.5313,0.1768,32.6123,NA,NA,1.84,,,
MSHN_3,WET,4.72,25.2,22.1,25,17.7,6.65,38.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
MSHN_3,WET,4.9,20.8,14.8,9,15.36,5.65,61,4.39,0.3556,4.801,0.2728,0.9834,0.1069,2.7453,0.0852,0.05,0.5,,,
