WEEK_COL,SITE_ID,TAXA,REL_ABUND
WEEK_03,BDEG_2,Acilius,0
WEEK_03,BDEG_3,Acilius,0
WEEK_03,MSHN_1,Acilius,3.773584906
WEEK_03,MSHN_2,Acilius,1.428571429
WEEK_03,SPRL_3,Acilius,0
WEEK_09,BDEG_2,Acilius,0
WEEK_09,BDEG_3,Acilius,0
WEEK_09,MSHN_1,Acilius,0
WEEK_09,MSHN_2,Acilius,0
WEEK_09,SPRL_3,Acilius,0
WEEK_03,BDEG_2,Aedes,7.692307692
WEEK_03,BDEG_3,Aedes,2.380952381
WEEK_03,MSHN_1,Aedes,13.20754717
WEEK_03,MSHN_2,Aedes,0
WEEK_03,SPRL_3,Aedes,5.660377358
WEEK_09,BDEG_2,Aedes,0
WEEK_09,BDEG_3,Aedes,0
WEEK_09,MSHN_1,Aedes,2.112676056
WEEK_09,MSHN_2,Aedes,0
WEEK_09,SPRL_3,Aedes,45.16129032
WEEK_03,BDEG_2,Aeshna,46.15384615
WEEK_03,BDEG_3,Aeshna,11.9047619
WEEK_03,MSHN_1,Aeshna,1.886792453
WEEK_03,MSHN_2,Aeshna,2.142857143
WEEK_03,SPRL_3,Aeshna,1.886792453
WEEK_09,BDEG_2,Aeshna,0
WEEK_09,BDEG_3,Aeshna,0
WEEK_09,MSHN_1,Aeshna,0
WEEK_09,MSHN_2,Aeshna,3.703703704
WEEK_09,SPRL_3,Aeshna,0
WEEK_03,BDEG_2,Agabinae,0
WEEK_03,BDEG_3,Agabinae,0
WEEK_03,MSHN_1,Agabinae,1.886792453
WEEK_03,MSHN_2,Agabinae,0
WEEK_03,SPRL_3,Agabinae,0
WEEK_09,BDEG_2,Agabinae,0
WEEK_09,BDEG_3,Agabinae,0
WEEK_09,MSHN_1,Agabinae,1.408450704
WEEK_09,MSHN_2,Agabinae,0
WEEK_09,SPRL_3,Agabinae,0
WEEK_03,BDEG_2,Anopheles,0
WEEK_03,BDEG_3,Anopheles,0
WEEK_03,MSHN_1,Anopheles,0
WEEK_03,MSHN_2,Anopheles,0
WEEK_03,SPRL_3,Anopheles,0
WEEK_09,BDEG_2,Anopheles,0
WEEK_09,BDEG_3,Anopheles,0
WEEK_09,MSHN_1,Anopheles,4.225352113
WEEK_09,MSHN_2,Anopheles,0
WEEK_09,SPRL_3,Anopheles,0
WEEK_03,BDEG_2,Boyeria,0
WEEK_03,BDEG_3,Boyeria,0
WEEK_03,MSHN_1,Boyeria,0
WEEK_03,MSHN_2,Boyeria,0.714285714
WEEK_03,SPRL_3,Boyeria,0
WEEK_09,BDEG_2,Boyeria,0
WEEK_09,BDEG_3,Boyeria,0
WEEK_09,MSHN_1,Boyeria,0
WEEK_09,MSHN_2,Boyeria,0
WEEK_09,SPRL_3,Boyeria,0
WEEK_03,BDEG_2,Brychius,0
WEEK_03,BDEG_3,Brychius,0
WEEK_03,MSHN_1,Brychius,1.886792453
WEEK_03,MSHN_2,Brychius,0
WEEK_03,SPRL_3,Brychius,0
WEEK_09,BDEG_2,Brychius,0
WEEK_09,BDEG_3,Brychius,0
WEEK_09,MSHN_1,Brychius,0
WEEK_09,MSHN_2,Brychius,0
WEEK_09,SPRL_3,Brychius,0
WEEK_03,BDEG_2,Ceratopogoninae,0
WEEK_03,BDEG_3,Ceratopogoninae,0
WEEK_03,MSHN_1,Ceratopogoninae,0
WEEK_03,MSHN_2,Ceratopogoninae,0
WEEK_03,SPRL_3,Ceratopogoninae,0
WEEK_09,BDEG_2,Ceratopogoninae,0
WEEK_09,BDEG_3,Ceratopogoninae,0
WEEK_09,MSHN_1,Ceratopogoninae,0
WEEK_09,MSHN_2,Ceratopogoninae,0
WEEK_09,SPRL_3,Ceratopogoninae,6.451612903
WEEK_03,BDEG_2,Chaoboridae,0
WEEK_03,BDEG_3,Chaoboridae,2.380952381
WEEK_03,MSHN_1,Chaoboridae,1.886792453
WEEK_03,MSHN_2,Chaoboridae,0
WEEK_03,SPRL_3,Chaoboridae,0
WEEK_09,BDEG_2,Chaoboridae,0
WEEK_09,BDEG_3,Chaoboridae,0
WEEK_09,MSHN_1,Chaoboridae,0
WEEK_09,MSHN_2,Chaoboridae,0
WEEK_09,SPRL_3,Chaoboridae,0
WEEK_03,BDEG_2,Chauliodes,15.38461538
WEEK_03,BDEG_3,Chauliodes,4.761904762
WEEK_03,MSHN_1,Chauliodes,0
WEEK_03,MSHN_2,Chauliodes,0
WEEK_03,SPRL_3,Chauliodes,3.773584906
WEEK_09,BDEG_2,Chauliodes,0
