SITE_ID,value,metric
BDEG_2,0.09024488,Richness
BDEG_3,0.09032769,Richness
MSHN_1,0.27659578,Richness
MSHN_2,0.21225889,Richness
MSHN_3,0.12016335,Richness
SPRL_1,0.12013722,Richness
SPRL_3,0.09027219,Richness
BDEG_2,0.14306783,Replacement_Difference
BDEG_3,0.1809069,Replacement_Difference
MSHN_1,0.09568249,Replacement_Difference
MSHN_2,0.11286611,Replacement_Difference
MSHN_3,0.14733279,Replacement_Difference
SPRL_1,0.15227413,Replacement_Difference
SPRL_3,0.16786975,Replacement_Difference
